年月,港口別,Total,國輪合計,外輪合計,進港合計,進港國輪,進港外輪,出港合計,出港國輪,出港外輪
200303,高雄港,12084924,3354688,8730236,8998477,2526444,6472033,3086447,828244,2258203
200303,臺中港,4056589,1489988,2566601,3582760,1394281,2188479,473829,95707,378122
200303,基隆港,3210977,1092687,2118290,2495686,1006317,1489369,715291,86370,628921
200303,花蓮港,1815123,1137932,677191,518857,84645,434212,1296266,1053287,242979
200303,安平港,531327,49470,481857,525321,45570,479751,6006,3900,2106
200303,蘇澳港,433024,227804,205220,287634,120854,166780,145390,106950,38440
200303,臺北港,0,0,0,0,0,0,0,0,0
200304,國際商港,20898693,6084047,14814646,16002555,4250417,11752138,4896138,1833630,3062508
200304,高雄港,11353350,2733007,8620343,8483969,1949552,6534417,2869381,783455,2085926
200304,臺中港,4574585,1488100,3086485,4197597,1415057,2782540,376988,73043,303945
200304,基隆港,2880560,842383,2038177,2309473,779412,1530061,571087,62971,508116
200304,花蓮港,1194296,863429,330867,245401,29142,216259,948895,834287,114608
200304,安平港,493185,38487,454698,486489,34013,452476,6696,4474,2222
200304,蘇澳港,402717,118641,284076,279626,43241,236385,123091,75400,47691
200304,臺北港,0,0,0,0,0,0,0,0,0
200305,國際商港,20631150,6579239,14051911,15047458,4305948,10741510,5583692,2273291,3310401
200305,高雄港,12433486,3382268,9051218,9305344,2420161,6885183,3128142,962107,2166035
200305,臺中港,3423852,1071442,2352410,3007975,998696,2009279,415877,72746,343131
200305,基隆港,2591267,844387,1746880,1981454,771305,1210149,609813,73082,536731
200305,花蓮港,1421740,1167392,254348,123118,45617,77501,1298622,1121775,176847
200305,安平港,464368,51357,413011,459637,46626,413011,4731,4731,0
200305,蘇澳港,296437,62393,234044,169930,23543,146387,126507,38850,87657
200305,臺北港,0,0,0,0,0,0,0,0,0
200306,國際商港,19797461,5935047,13862414,14258519,3819676,10438843,5538942,2115371,3423571
200306,高雄港,10438460,2562047,7876413,7440955,1725048,5715907,2997505,836999,2160506
200306,臺中港,4039807,1365020,2674787,3590661,1307218,2283443,449146,57802,391344
200306,基隆港,3005583,727222,2278361,2307070,667270,1639800,698513,59952,638561
200306,花蓮港,1503026,1088534,414492,290651,28102,262549,1212375,1060432,151943
200306,蘇澳港,442266,145657,296609,266972,49907,217065,175294,95750,79544
200306,安平港,368319,46567,321752,362210,42131,320079,6109,4436,1673
200306,臺北港,0,0,0,0,0,0,0,0,0
200307,國際商港,21183293,6468436,14714857,15110242,4017981,11092261,6073051,2450455,3622596
200307,高雄港,11806191,3082703,8723488,8424018,1962031,6461987,3382173,1120672,2261501
200307,臺中港,3842984,1243792,2599192,3354323,1200759,2153564,488661,43033,445628
200307,基隆港,2954907,802228,2152679,2337804,748721,1589083,617103,53507,563596
200307,花蓮港,1578435,1108025,470410,219605,5431,214174,1358830,1102594,256236
200307,蘇澳港,678301,190330,487971,461883,65430,396453,216418,124900,91518
200307,安平港,322475,41358,281117,312609,35609,277000,9866,5749,4117
200307,臺北港,0,0,0,0,0,0,0,0,0
200308,國際商港,19287171,5297248,13989923,13513958,2894002,10619956,5773213,2403246,3369967
200308,高雄港,10274351,2140907,8133444,7140693,1067080,6073613,3133658,1073827,2059831
200308,臺中港,3807400,1054510,2752890,3330226,1008479,2321747,477174,46031,431143
200308,基隆港,2925859,691592,2234267,2227374,640981,1586393,698485,50611,647874
200308,花蓮港,1524918,1196521,328397,260848,66051,194797,1264070,1130470,133600
200308,蘇澳港,416233,165235,250998,222241,66835,155406,193992,98400,95592
200308,安平港,338410,48483,289927,332576,44576,288000,5834,3907,1927
200308,臺北港,0,0,0,0,0,0,0,0,0
200309,國際商港,20941205,6018690,14922515,15094592,3798559,11296033,5846613,2220131,3626482
200309,高雄港,12609247,2896018,9713229,9389718,2050903,7338815,3219529,845115,2374414
200309,臺中港,3378722,1073422,2305300,2925426,985521,1939905,453296,87901,365395
200309,基隆港,2836884,703375,2133509,2171619,655431,1516188,665265,47944,617321
200309,花蓮港,1413096,1165146,247950,87188,7128,80060,1325908,1158018,167890
200309,蘇澳港,462009,149805,312204,284070,71505,212565,177939,78300,99639
200309,安平港,241247,30924,210323,236571,28071,208500,4676,2853,1823
200309,臺北港,0,0,0,0,0,0,0,0,0
200310,國際商港,20317537,6193433,14124104,14293278,3718969,10574309,6024259,2474464,3549795
200310,高雄港,11212975,2888384,8324591,7938234,1888708,6049526,3274741,999676,2275065
200310,臺中港,3762081,1075455,2686626,3240286,1020344,2219942,521795,55111,466684
200310,基隆港,3014320,752282,2262038,2310562,700956,1609606,703758,51326,652432
200310,花蓮港,1592019,1296577,295442,252610,33461,219149,1339409,1263116,76293
200310,蘇澳港,415602,125100,290502,238186,25200,212986,177416,99900,77516
200310,安平港,320540,55635,264905,313400,50300,263100,7140,5335,1805
200310,臺北港,0,0,0,0,0,0,0,0,0
200311,國際商港,21582525,6703639,14878886,15402709,4012441,11390268,6179816,2691198,3488618
200311,高雄港,12433904,3166384,9267520,8819951,1782195,7037756,3613953,1384189,2229764
200311,臺中港,3957413,1150263,2807150,3424413,1088125,2336288,533000,62138,470862
200311,基隆港,3104325,999275,2105050,2430290,949093,1481197,674035,50182,623853
200311,花蓮港,1540393,1221666,318727,266474,85963,180511,1273919,1135703,138216
200311,安平港,310913,63474,247439,301738,59238,242500,9175,4236,4939
200311,蘇澳港,235577,102577,133000,159843,47827,112016,75734,54750,20984
200311,臺北港,0,0,0,0,0,0,0,0,0
