年月,港口別,艘次總計,總噸位總計,中華民國艘次,中華民國總噸位,日本艘次,日本總噸位,韓國艘次,韓國總噸位,香港艘次,香港總噸位, 中國大陸艘次,中國大陸總噸位,越南艘次,越南總噸位,泰國艘次,泰國總噸位,馬來西亞艘次,馬來西亞總噸位,新加坡艘次,新加坡總噸位,菲律賓艘次,菲律賓總噸位,柬埔寨艘次,柬埔寨總噸位,印尼艘次,印尼總噸位,印度艘次,印度總噸位,沙烏地阿拉伯艘次,沙烏地阿拉伯,科威特艘次,科威特總噸位,賴比瑞亞艘次,賴比瑞亞總噸位,美國艘次,美國總噸位,巴拿馬艘次,巴拿馬總噸位,巴哈馬艘次,巴哈馬總噸位,宏都拉斯艘次,宏都拉斯總噸位,聖文森艘次,聖文森總噸位,安地瓜巴布達艘次,安地瓜巴布達總噸位,安地卡艘次,安地卡總噸位,貝里斯艘次,貝里斯總噸位,紐西蘭艘次,紐西蘭總噸位,吐瓦魯艘次,吐瓦魯總噸位,馬紹爾群島艘次,馬紹爾群島總噸位,法國艘次,法國總噸位,德國艘次,德國總噸位,義大利艘次,義大利總噸位,荷蘭艘次,荷蘭總噸位,英國艘次,英國總噸位,挪威艘次,挪威總噸位,丹麥艘次,丹麥總噸位,葡萄牙艘次,葡萄牙總噸位,希臘艘次,希臘總噸位,塞浦路斯艘次,塞浦路斯總噸位,馬爾他艘次,馬爾他總噸位,其他國籍艘次,其他國籍總噸位
200403,國際商港,3572,49115404,1114,8217002,22,226557,94,828265,145,2002112,0,0,23,223949,10,58589,40,497715,193,3157786,20,294015,28,148678,16,102113,4,117820,3,81909,3,246027,212,4750591,16,661250,962,14008440,32,603463,8,7105,129,995434,64,1067132,0,0,34,65360,0,0,0,0,54,963800,1,29083,32,1157285,3,112419,14,447998,23,1393890,16,394244,19,1418601,0,0,23,1194008,70,1042387,37,682193,108,1918184
200404,國際商港,3508,48526620,1155,8572169,21,369461,81,751414,150,2423557,0,0,39,444040,5,61639,38,449710,206,3368136,19,296317,16,87422,19,104798,2,66836,3,106116,0,0,206,4433529,11,472464,907,12984462,38,894598,1,254,123,965525,54,717589,0,0,29,70524,0,0,0,0,54,1069601,0,0,29,1113445,7,376038,14,375272,29,1557537,17,436648,21,1558820,0,0,17,956647,57,886522,45,803711,95,1751819
200405,國際商港,3584,48894628,1233,8779329,22,277596,93,743902,136,2391989,0,0,26,325952,9,93001,34,432716,202,3623316,13,202941,18,69081,11,57119,2,42831,2,77135,1,48154,176,3749213,15,679523,951,14112861,37,708184,2,508,131,970062,60,846571,0,0,39,76811,0,0,0,0,52,903631,1,164251,28,976255,5,212223,17,560684,35,1992578,12,287595,19,1325294,0,0,31,1185005,52,749146,33,523905,86,1705266
200406,國際商港,3475,48072042,1179,8688270,23,253346,83,627689,148,2459772,0,0,36,362969,6,36501,37,564097,191,3459031,18,284622,18,160446,9,27743,2,55656,1,28981,1,48154,181,3885199,13,562624,907,14138098,40,804962,4,2684,117,904058,49,640008,0,0,41,82651,0,0,3,51993,34,727713,0,0,18,740415,6,305878,12,238528,35,1961612,20,553434,20,1509910,0,0,17,803150,53,741281,43,702421,110,1658146
200407,國際商港,3611,47449358,1298,8485848,21,147790,88,922068,174,2963805,0,0,44,458583,9,52313,37,409088,188,3092687,15,253032,16,94636,8,58268,3,84797,1,48154,2,197873,190,4163507,7,276339,899,13053546,43,729231,3,1596,117,968191,50,660885,0,0,40,130728,0,0,1,1113,36,775917,1,50757,17,754146,4,183037,22,580437,36,1867171,17,385853,22,1565580,0,0,12,702712,57,1017342,42,771084,91,1541244
200408,國際商港,3489,48409421,1197,8394997,21,177671,99,770117,173,2910382,0,0,44,457311,9,59014,44,908904,188,3588489,16,272976,20,117163,5,25611,0,0,1,48154,1,48154,191,4642006,11,276828,871,13412211,42,615274,4,1639,115,823627,47,497055,0,0,35,108448,0,0,3,51993,39,773820,5,376685,26,917654,8,358815,20,572118,31,1754544,14,383620,19,1383085,0,0,16,677594,39,567856,39,587014,96,1848592
200409,國際商港,3435,47307919,1213,8490329,13,236486,94,900954,154,2444528,0,0,39,448150,7,47502,43,696274,187,3131816,14,221927,19,120278,5,43459,1,28029,2,77135,1,149719,173,4248306,8,304553,889,13760267,31,477679,5,1893,102,801204,50,501652,0,0,38,98892,0,0,1,2389,40,799881,0,0,28,828693,6,345815,20,598616,32,1873733,13,248121,16,1227797,0,0,20,1018213,42,841337,37,679985,92,1612307
200410,國際商港,3474,48844776,1175,7987834,19,262902,111,859393,158,2776428,0,0,40,367777,9,79040,44,749449,194,3469553,17,220947,17,141217,8,25262,3,40569,2,77135,3,246027,187,5142197,9,338279,907,13861804,37,530167,1,3321,98,795719,44,544292,0,0,37,86556,0,0,3,51993,38,722294,0,0,34,896971,4,153787,13,431187,36,1843811,21,646741,24,1832660,0,0,20,1087364,35,653169,33,499950,93,1418981
200411,國際商港,3396,46654475,1183,8572661,21,221553,90,744359,149,2241701,0,0,35,316597,10,54777,45,659835,177,3111918,13,196688,22,161328,6,39877,4,91614,3,106116,0,0,189,5124094,10,311071,882,13033406,34,538842,1,877,100,843620,43,516168,0,0,31,68857,0,0,4,22584,48,995552,1,164251,35,1047417,5,284278,18,489965,27,1252762,23,551476,20,1623334,0,0,12,614088,38,638533,31,480293,86,1533983
200412,國際商港,3456,48810389,1182,8485301,18,274426,98,826946,149,2210856,0,0,35,319566,14,148002,33,957457,172,3092146,15,316567,20,147835,6,22306,5,121122,3,106116,3,356304,180,4914166,17,525101,962,14381083,25,389669,0,0,85,653377,56,700476,0,0,23,56953,0,0,4,54351,43,935800,0,0,32,1150231,5,148012,25,579728,34,1895925,12,309168,19,1440558,0,0,16,699781,38,677579,26,438679,101,1474802
